Ethoslab,GeminiTay,Pearl,Grian,Scar,Hypnotizd,TangoTek,Cubfan135,Zedaph,xBCrafted,FalseSymmetry,MumboJumbo,impulseSV,Docm77,JoeHills,VintageBeef,Keralis,iJevin,iskall85,BdoubleO100,Stress,Xisuma,ZombieCleo,Rendog,Run No.
,,945.1003911,,,,,,,,,,,,,,,,,,,,990.8005215,,88
,,945.1003911,,,,,,,,,,,,,,,,,,,,972.5006519,,89
,,958.8005215,1036.500652,,,,,,,,,,,,,,,,,,,,,90
,,958.8005215,1050.200782,,,,,,,,,,,,,,,,,,,,,91
,,972.5006519,,,,,,,,,,,,,,,,,,,,,,92
,,969.2186006,,,,,,,,,,,,,,,,,,,,,,93
,,965.9365493,,,,,,,,,,,,,,,,,,,,,,94
,,979.6366797,,,,,1014.918731,,,,,,,,,,,,,,,,,95
,,,,,,,996.6188614,,,,,,,,,,,,,,,,,96
,,,1050.200782,,,,993.3368101,,,,,,,,,,,,,,,,,97
,,,1031.900913,,,,,,,,,,,,,,,,,,,,,98
,,,1045.601043,,,,,,,,,,,977.1003911,,,,,,,,,,99
,,,,,,,,,,,,,,990.8005215,,,1012.954368,,,,,,,100
,,,,,,,,,,,,,,,,,1026.654498,,,,,972.5006519,,101
1024.118209,,,,,,,,,,,,,,,,,,,,,,954.2007823,,102
1020.836158,,,,,,,,,,,,,,,,,,,,,,954.2007823,,103
1020.836158,,,,,,,,,,,,,,,,,,,,,,967.9009126,,104
1034.536289,969.2186006,,,,,,,,,,,,,,,,,,,,,,,105
1034.536289,982.918731,,,,,,,,,,,,,,,,,,,,,,,106
1048.236419,,,,,,,993.3368101,,,,,,,,,,,,,,,,,107
,,,,,,,990.0547588,,,,,,,,,,,,,,,,,108
,,,,,,,1003.754889,,,,,,,990.8005215,,,,,,,,,,109
,,,,,,,1003.754889,,,,,,,972.5006519,,,,,,,,,,110
,,,,,,,985.4550196,,,,,,,,,,,,,,,,,111
,,,,,,,982.1729683,,,,,,,,,,,,,,,,,112
,,,,,,,995.8730987,,,,,,,972.5006519,,,,,,,,,,113
,,,,,,,,,,,,,,969.2186006,,,,,,,,,1000.0,114
,,,,,,,,,,,,,,,,,,,,,,,981.7001304,115
,,,,,,,,,,,,,,,,,,,,,,,963.4002608,116
,,,,,,,,,,,,,,,,,,,,,,,945.1003911,117
,982.918731,,,,,,,,,,,,,,,,,,,,,,958.8005215,118
,996.6188614,,,,,,,,,,,,,969.2186006,,,,,,,,,,119
,,,,,,,,,,,,,,965.9365493,,,,,,,,,,120
,,,,,,,,,,,,1027.400261,,979.6366797,,,,,,,,,,121
,,,,,,,,,,,,1009.100391,,,,,,,,,,,,122
,,,,,,,,,,,,1005.81834,,,,,,,,,,,,123
,,,,,,,,,,,,987.5184702,,,,,,,,,,,,124
,,,,,,,,,,,,969.2186006,,,,,,,,,,,,125
,,,,,,,,,,,,969.2186006,,,,,,,,,,,,126
,,,,,,,,,,,,969.2186006,,,,,,,,,,,,127
,,,,,,,,,,,,982.918731,,,,,,,,,,,,128
,,,,,,,,,,,,996.6188614,,,,,,,958.8005215,,,,,129
,,,,,,,,,,,,996.6188614,,,,,,,940.5006519,,,,,130
,,,,,,,,,,,,1010.318992,,,,,,,940.5006519,,,,,131
,,,,,,,,,,,,1004.50081,,,,,,,940.5006519,,,,,132
,,,,,,,,,,,,,,,,,,,922.2007823,,,967.9009126,,133
